批次号,客户编号,入仓号,包裹类型,总件数,快递号,总重量(kg),总体积重,是否超长,是否付款,实付金额(C$),freight(C$),Duty(C$),GST(C$),附加服务,保险,总金额(C$)
ONO230812-0504_0601_0602_0603,RAFEF,ONO2RAFEF0412306,海运-小额,1,7.86957E+13,2.545,0.01,,,,3,0,0,,0,3
ONO230812-0504_0601_0602_0603,WSYZB,ONO2WSYZB0052306,海运-小额,1,7.86957E+13,1.309,0.01,,,,3,0,0,,0,3
ONO230812-0504_0601_0602_0603,UHCSQ,ONO2UHCSQ0402306,海运-小额,1,7.86955E+13,0.564,0.01,,,,3,0,0,,0,3
ONO230812-0504_0601_0602_0603,ASXYZ,ONO2ASXYZ0272306,海运-小额,1,4.33274E+14,1.549,0.01,,,,3,0,0,,0,3
ONO230812-0504_0601_0602_0603,ASXYZ,ONO2ASXYZ0262306,海运-小额,1,7.73227E+14,2.454,0.01,,,,3,0,0,,0,3
ONO230812-0504_0601_0602_0603,TQTHZ,ONO2TQTHZ0072306,海运-小额,1,JDAZ08260122333,1.23,0.01,,,,3,0,0,,0,3
ONO230812-0504_0601_0602_0603,WZYZN,ONO2WZYZN0092306,海运-小额,1,JDAZ08260618834,2.059,0.01,,,,3,0,0,,0,3
ONO230812-0504_0601_0602_0603,RAFEF,ONO2RAFEF0402306,海运-小额,1,JT3034660504300,1.554,0.01,,,,3,0,0,,0,3
ONO230812-0504_0601_0602_0603,SEWHR,ONO2SEWHR0012306,海运-小额,1,9.87138E+12,0.514,0.01,,,,3,0,0,,0,3
ONO230812-0504_0601_0602_0603,CEFPS,ONO2CEFPS0012306,海运-小额,1,4.3327E+14,2.13,0.01,,,,3,0,0,,0,3
ONO230812-0504_0601_0602_0603,TQTHZ,ONO2TQTHZ0062306,海运-小额,1,JT3034365525741,3.494,0.01,,,,3,0,0,,0,3
ONO230812-0504_0601_0602_0603,PWSQZ,ONO2PWSQZ0172306,海运-小额,1,JDAZ08235645005,0.709,0.01,,,,3,0,0,,0,3
ONO230812-0504_0601_0602_0603,XKXCH,ONO2XKXCH0042306,海运-小额,1,7.56102E+13,5.894,0.01,,,,3,0,0,,0,3
ONO230812-0504_0601_0602_0603,ZUCKQ,ONO2ZUCKQ0442306,海运-小额,1,JDAZ08221628037,1.304,0.01,,,,3,0,0,,0,3
ONO230812-0504_0601_0602_0603,USYSW,ONO2USYSW0262306,海运-小额,1,7.86908E+13,0.6,0.01,,,,3,0,0,,0,3
ONO230812-0504_0601_0602_0603,XXRUZ,ONO2XXRUZ0082306,海运-小额,1,7.86908E+13,1.544,0.01,,,,3,0,0,,0,3
ONO230812-0504_0601_0602_0603,YTWNA,ONO2YTWNA0162306,海运-小额,1,JT3034549214596,1.404,0.01,,,,3,0,0,,0,3
ONO230812-0504_0601_0602_0603,PWSQZ,ONO2PWSQZ0162306,海运-小额,1,YT7281701256472,1.62,0.01,,,,3,0,0,,0,3
ONO230812-0504_0601_0602_0603,UHCSQ,ONO2UHCSQ0382306,海运-小额,1,YT7281816262748,1.705,0.01,,,,3,0,0,,0,3
ONO230812-0504_0601_0602_0603,ZUCKQ,ONO2ZUCKQ0432306,海运-小额,1,YT7281702831349,1.61,0.01,,,,3,0,0,,0,3
ONO230812-0504_0601_0602_0603,XQCBE,ONO2XQCBE0162306,海运-小额,1,yt7279115063485,1,0.01,,,,3,0,0,,0,3
ONO230812-0504_0601_0602_0603,CSAPW,ONO2CSAPW0072306,海运-小额,1,7.73226E+14,1,0.01,,,,3,0,0,,0,3
ONO230812-0504_0601_0602_0603,ZBHZQ,ONO2ZBHZQ0032306,海运-小额,1,sf1417058055293,1,0.01,,,,3,0,0,,0,3
ONO230812-0504_0601_0602_0603,USYSW,ONO2USYSW0232306,海运-小额,1,SF1633931094717,0.714,0.01,,,,3,0,0,,0,3
ONO230812-0504_0601_0602_0603,XQCBE,ONO2XQCBE0152306,海运-小额,1,JT3034491893034,1.12,0.01,,,,3,0,0,,0,3
ONO230812-0504_0601_0602_0603,XKXCH,ONO2XKXCH0032306,海运-小额,1,JD0107010238876,3.579,0.01,,,,3,0,0,,0,3
ONO230812-0504_0601_0602_0603,CUFPQ,ONO2CUFPQ0132306,海运-小额,1,SF1632417054027,0.275,0.01,,,,3,0,0,,0,3
ONO230812-0504_0601_0602_0603,XAWTF,ONO2XAWTF0422306,海运-小额,1,JD0107053872424,6.445,0.01,,,,3,0,0,,0,3
