批次号,客户编号,入仓号,包裹类型,总件数,快递号,总重量(kg),总体积重,是否超长,是否付款,实付金额(C$),freight(C$),Duty(C$),GST(C$),附加服务,保险,总金额(C$)
ONO230701,FANKR,ONO2FANKR0282307,海运-小额,1,7.73232E+14,2.47,0.01,,,,3,0,0,,0,3
ONO230701,YSFAP,ONO2YSFAP0622307,海运-小额,1,7.77152E+14,0.894,0.01,,,,3,0,0,,0,3
ONO230701,QAYPU,ONO2QAYPU0112307,海运-小额,1,4.33322E+14,2.43,0.01,,,,3,0,0,,0,3
ONO230701,SEWHR,ONO2SEWHR0072307,海运-小额,1,YT8915335416781,2.075,0.01,,,,3,0,0,,0,3
ONO230701,RAFEF,ONO2RAFEF0562307,海运-小额,1,9.87165E+12,0.745,0.01,,,,3,0,0,,0,3
ONO230701,RAFEF,ONO2RAFEF0502307,海运-小额,1,7.83522E+13,0.709,0.01,,,,3,0,0,,0,3
ONO230701,RAFEF,ONO2RAFEF0482307,海运-小额,1,YT7401097091096,1.32,0.01,,,,3,0,0,,0,3
ONO230701,RAFEF,ONO2RAFEF0472307,海运-小额,1,YT7401045281186,0.675,0.01,,,,3,0,0,,0,3
ONO230701,BTTBX,ONO2BTTBX0152307,海运-小额,1,YT7400909555809,1.36,0.01,,,,3,0,0,,0,3
ONO230701,QAYPU,ONO2QAYPU0102307,海运-小额,1,4.28094E+14,2.095,0.01,,,,3,0,0,,0,3
ONO230701,ASXYZ,ONO2ASXYZ0372307,海运-小额,1,YT8914479711284,0.954,0.01,,,,3,0,0,,0,3
ONO230701,BTTBX,ONO2BTTBX0142307,海运-小额,1,9.83086E+12,1,0.01,,,,3,0,0,,0,3
ONO230701,RAFEF,ONO2RAFEF0442307,海运-小额,1,7.87009E+13,1.105,0.01,,,,3,0,0,,0,3
ONO230701,ASXYZ,ONO2ASXYZ0362307,海运-小额,1,7.83512E+13,1.424,0.01,,,,3,0,0,,0,3
ONO230701,BTTBX,ONO2BTTBX0122307,海运-小额,1,7.87009E+13,0.6,0.01,,,,3,0,0,,0,3
ONO230701,PWSQZ,ONO2PWSQZ0192307,海运-小额,1,7.87009E+13,1.105,0.01,,,,3,0,0,,0,3
ONO230701,ASXYZ,ONO2ASXYZ0352307,海运-小额,1,7.8701E+13,1.299,0.01,,,,3,0,0,,0,3
ONO230701,SNSYN,ONO2SNSYN0142307,海运-小额,1,7.87009E+13,2.089,0.01,,,,3,0,0,,0,3
ONO230701,XTYFQ,ONO2XTYFQ0042307,海运-小额,1,7.87009E+13,2.684,0.01,,,,3,,,,0,3
ONO230701,XTYFQ,ONO2XTYFQ0032307,海运-小额,1,7.87009E+13,0.569,0.01,,,,3,,,,0,3
ONO230701,QAYPU,ONO2QAYPU0092307,海运-小额,1,7.56106E+13,4.385,0.01,,,,3,0,0,,0,3
ONO230701,XTYFQ,ONO2XTYFQ0022307,海运-小额,1,YT7400313120277,0.814,0.01,,,,3,,,,0,3
ONO230701,ASXYZ,ONO2ASXYZ0342307,海运-小额,1,YT8914497179262,3.825,0.01,,,,3,0,0,,0,3
ONO230701,ASXYZ,ONO2ASXYZ0332307,海运-小额,1,7.83512E+13,2.515,0.01,,,,3,0,0,,0,3
ONO230701,PFHXU,ONO2PFHXU0542307,海运-小额,1,DPK202188056199,3.214,0.01,,,,3,0,0,,0,3
ONO230701,BTTBX,ONO2BTTBX0112307,海运-小额,1,7.57028E+13,1.424,0.01,,,,3,0,0,,0,3
ONO230701,BTTBX,ONO2BTTBX0102307,海运-小额,1,YT1807933607627,3.204,0.01,,,,3,0,0,,0,3
ONO230701,ASXYZ,ONO2ASXYZ0322307,海运-小额,1,YT8914500957900,3.164,0.01,,,,3,0,0,,0,3
