"","客户编号","入仓号","包裹类型","总件数","快递号","总重量(kg)","总体积重","是否超长","是否付款","实付金额(C$)","freight(C$)","Duty(C$)","GST(C$)","附加服务","保险","总金额(C$)"
"","BTTBX","ONO2BTTBX0282308","海运-小额","1","JT3041031508837","4.085","0.01","","","","3","0","0","","0","3"
"","NSBEU","ONO2NSBEU0322308","海运-小额","1","JT3041303005607","4.07","0.01","","","","3","0","0","","0","3"
"","XXRUZ","ONO2XXRUZ0092308","海运-小额","1","78710953615438","2.144","0.01","","","","3","0","0","","0","3"
"","FUTNN","ONO2FUTNN0812308","海运-小额","1","78710953537638","2.125","0.01","","","","3","0","0","","0","3"
"","PWSQZ","ONO2PWSQZ0272308","海运-小额","1","JT3041042644906","1.034","0.01","","","","3","","","","0","3"
"","WSYZB","ONO2WSYZB0082308","海运-小额","1","JT3041042921377","1.36","0.01","","","","3","0","0","","0","3"
"","RAFEF","ONO2RAFEF0802308","海运-小额","1","433371365105389","0.449","0.01","","","","3","0","0","","0","3"
"","WSYZB","ONO2WSYZB0072308","海运-小额","1","433370305824559","1.86","0.01","","","","3","0","0","","0","3"
"","RAFEF","ONO2RAFEF0792308","海运-小额","1","433371144237668","0.444","0.01","","","","3","0","0","","0","3"
"","RAFEF","ONO2RAFEF0782308","海运-小额","1","773236053874011","2.315","0.01","","","","3","0","0","","0","3"
"","YSFAP","ONO2YSFAP0682308","海运-小额","1","YT7406781383723","1.115","0.01","","","","3","0","0","","0","3"
"","WKWQZ","ONO2WKWQZ0592308","海运-小额","1","YT1812483009894","1.129","0.01","","","","3","0","0","","0","3"
"","PWSQZ","ONO2PWSQZ0252308","海运-小额","1","773236353029188","2.494","0.01","","","","3","","","","0","3"
"","RWCWU","ONO2RWCWU0062308","海运-小额","1","8908874091499","3.535","0.01","","","","3","0","0","","0","3"
"","ASXYZ","ONO2ASXYZ0462308","海运-小额","1","JT3040813282601","1.825","0.01","","","","3","0","0","","0","3"
"","RAFEF","ONO2RAFEF0772308","海运-小额","1","JT3040825714775","0.485","0.01","","","","3","0","0","","0","3"
"","ASXYZ","ONO2ASXYZ0452308","海运-小额","1","JT3040778738535","2.17","0.01","","","","3","0","0","","0","3"
"","RAFEF","ONO2RAFEF0762308","海运-小额","1","773236041026396","0.564","0.01","","","","3","0","0","","0","3"
