批次号,客户编号,入仓号,包裹类型,总件数,快递号,总重量(kg),总体积重,是否超长,是否付款,实付金额(C$),freight(C$),Duty(C$),GST(C$),附加服务,保险,总金额(C$)
ONO230801-0804,BTTBX,ONO2BTTBX0282308,海运-小额,1,JT3041031508837,4.085,0.01,,,,3,0,0,,0,3
ONO230801-0804,NSBEU,ONO2NSBEU0322308,海运-小额,1,JT3041303005607,4.07,0.01,,,,3,0,0,,0,3
ONO230801-0804,XXRUZ,ONO2XXRUZ0092308,海运-小额,1,7.87E+13,2.144,0.01,,,,3,0,0,,0,3
ONO230801-0804,FUTNN,ONO2FUTNN0812308,海运-小额,1,7.87E+13,2.125,0.01,,,,3,0,0,,0,3
ONO230801-0804,PWSQZ,ONO2PWSQZ0272308,海运-小额,1,JT3041042644906,1.034,0.01,,,,3,,,,0,3
ONO230801-0804,WSYZB,ONO2WSYZB0082308,海运-小额,1,JT3041042921377,1.36,0.01,,,,3,0,0,,0,3
ONO230801-0804,RAFEF,ONO2RAFEF0802308,海运-小额,1,4.33E+14,0.449,0.01,,,,3,0,0,,0,3
ONO230801-0804,WSYZB,ONO2WSYZB0072308,海运-小额,1,4.33E+14,1.86,0.01,,,,3,0,0,,0,3
ONO230801-0804,RAFEF,ONO2RAFEF0792308,海运-小额,1,4.33E+14,0.444,0.01,,,,3,0,0,,0,3
ONO230801-0804,RAFEF,ONO2RAFEF0782308,海运-小额,1,7.73E+14,2.315,0.01,,,,3,0,0,,0,3
ONO230801-0804,YSFAP,ONO2YSFAP0682308,海运-小额,1,YT7406781383723,1.115,0.01,,,,3,0,0,,0,3
ONO230801-0804,WKWQZ,ONO2WKWQZ0592308,海运-小额,1,YT1812483009894,1.129,0.01,,,,3,0,0,,0,3
ONO230801-0804,PWSQZ,ONO2PWSQZ0252308,海运-小额,1,7.73E+14,2.494,0.01,,,,3,,,,0,3
ONO230801-0804,RWCWU,ONO2RWCWU0062308,海运-小额,1,8.91E+12,3.535,0.01,,,,3,0,0,,0,3
ONO230801-0804,ASXYZ,ONO2ASXYZ0462308,海运-小额,1,JT3040813282601,1.825,0.01,,,,3,0,0,,0,3
ONO230801-0804,RAFEF,ONO2RAFEF0772308,海运-小额,1,JT3040825714775,0.485,0.01,,,,3,0,0,,0,3
ONO230801-0804,ASXYZ,ONO2ASXYZ0452308,海运-小额,1,JT3040778738535,2.17,0.01,,,,3,0,0,,0,3
ONO230801-0804,RAFEF,ONO2RAFEF0762308,海运-小额,1,7.73E+14,0.564,0.01,,,,3,0,0,,0,3
ONO230801-0804,RAFEF,ONO2RAFEF0752308,海运-小额,1,7.73E+14,2.599,0.01,,,,3,0,0,,0,3
ONO230801-0804,PWSQZ,ONO2PWSQZ0242308,海运-小额,1,7.76E+14,0.685,0.01,,,,3,,,,0,3
ONO230801-0804,PWSQZ,ONO2PWSQZ0232308,海运-小额,1,7.73E+14,1.539,0.01,,,,3,,,,0,3
ONO230801-0804,RAFEF,ONO2RAFEF0742308,海运-小额,1,YT7406348151400,0.85,0.01,,,,3,0,0,,0,3
ONO230801-0804,PFHXU,ONO2PFHXU0652308,海运-小额,1,3.19E+14,0.159,0.01,,,,3,,,,0,3
ONO230801-0804,CSAPW,ONO2CSAPW0262308,海运-小额,1,JT3040756395321,1.429,0.01,,,,3,0,0,,0,3
ONO230801-0804,BTTBX,ONO2BTTBX0262308,海运-小额,1,7.87E+13,1.11,0.01,,,,3,0,0,,0,3
ONO230801-0804,CSAPW,ONO2CSAPW0252308,海运-小额,1,7.87E+13,1.169,0.01,,,,3,0,0,,0,3
ONO230801-0804,SPSUH,ONO2SPSUH0072308,海运-小额,1,4.33E+14,0.935,0.01,,,,3,0,0,,0,3
ONO230801-0804,KNAUR,ONO2KNAUR1102308,海运-小额,1,7.73E+14,1.6,0.01,,,,3,0,0,,0,3
ONO230801-0804,BTTBX,ONO2BTTBX0252308,海运-小额,1,YT7405352033555,3.914,0.01,,,,3,0,0,,0,3
ONO230801-0804,XTYFQ,ONO2XTYFQ0182307,海运-小额,1,7.87E+13,1.029,0.01,,,,3,0,0,,0,3
ONO230801-0804,WKWQZ,ONO2WKWQZ0562307,海运-小额,1,JT3039994511039,5.489,0.01,,,,3,0,0,,0,3
ONO230801-0804,ZNZQK,ONO2ZNZQK0042307,海运-小额,1,7.73E+14,1,0.01,,,,3,0,0,,0,3
ONO230801-0804,NAKWB,ONO2NAKWB0222307,海运-小额,1,7.87E+13,4.074,0.01,,,,3,0,0,,0,3
